effect,group,term,estimate,std.error,statistic,df,p.value,store,ICC_adjusted
fixed,NA,(Intercept),-0.5092237122954181,0.07336588234680778,-6.940879002698655,27.651818898884166,1.6233442140233514e-7,Closest,0.05197926842300384
fixed,NA,afam_pct,3.700506329176106e-4,0.0022390679197336586,0.16526994543409332,27834.775648835854,0.8687327137709471,Closest,0.05197926842300384
fixed,NA,hisp_pct,-0.0017084425434193942,0.0019464948880742786,-0.8777020447814295,27835.981442887034,0.38011300979846496,Closest,0.05197926842300384
fixed,NA,asian_pct,-9.664578422376547e-4,0.002848064042665498,-0.3393385218027431,27830.134111394527,0.7343572866580441,Closest,0.05197926842300384
fixed,NA,pov_pct,-9.719363644953334e-4,0.0018534060555459744,-0.5244055190102535,27832.706711249277,0.6000006949244043,Closest,0.05197926842300384
fixed,NA,inc150k_pct,-0.007046918176334161,0.0020900899389621574,-3.371586095397089,27851.630336970513,7.483827374980837e-4,Closest,0.05197926842300384
fixed,NA,Supermarket,-0.01874027687447695,0.010945190452475127,-1.7121928536418527,27832.452933136836,0.08687227337045196,Closest,0.05197926842300384
fixed,NA,Grocer,-0.010729829132679903,0.004749350640403643,-2.2592202482164985,27842.75766095531,0.02387738683629767,Closest,0.05197926842300384
fixed,NA,popdens_topcode,9.391719217741285e-5,3.765546048031457e-5,2.4941188071916063,27844.968709591514,0.012632779912303067,Closest,0.05197926842300384
ran_pars,msa_fips1,sd__(Intercept),0.37443188301306096,NA,NA,NA,NA,Closest,0.05197926842300384
ran_pars,Residual,sd__Observation,1.5990669894159972,NA,NA,NA,NA,Closest,0.05197926842300384
fixed,NA,(Intercept),-19.63355845850308,7.865947328568043,-2.4960195687042916,26.998707010860407,0.018965843485784083,Dollar General,0.9256645081297283
fixed,NA,afam_pct,0.011026063538830566,0.016218521857061994,0.6798439238795064,27825.046580505597,0.49660894709510284,Dollar General,0.9256645081297283
fixed,NA,hisp_pct,0.017144205821382714,0.014099474376538799,1.2159464504513926,27825.05275772933,0.22401563721058396,Dollar General,0.9256645081297283
fixed,NA,asian_pct,0.07723316917964318,0.02062871532880447,3.7439640786452797,27825.021135792547,1.8150419043619365e-4,Dollar General,0.9256645081297283
fixed,NA,pov_pct,-0.017924226729403154,0.01342469633272942,-1.335168132310291,27825.034455876437,0.1818322471863917,Dollar General,0.9256645081297283
fixed,NA,inc150k_pct,0.01615231354703898,0.015144381864638325,1.0665548248459151,27825.211355557836,0.2861821630500704,Dollar General,0.9256645081297283
fixed,NA,Supermarket,-9.687288052174771e-4,0.07927864846986057,-0.012219290110448332,27825.033540191616,0.9902507472949174,Dollar General,0.9256645081297283
fixed,NA,Grocer,-0.042651316740263026,0.03440516814225382,-1.2396776136629866,27825.100049503068,0.2151051154461059,Dollar General,0.9256645081297283
fixed,NA,popdens_topcode,1.0317482398818889e-4,2.7279246884786353e-4,0.37821727419362716,27825.116564116288,0.7052720792408761,Dollar General,0.9256645081297283
ran_pars,msa_fips1,sd__(Intercept),40.86934203103399,NA,NA,NA,NA,Dollar General,0.9256645081297283
ran_pars,Residual,sd__Observation,11.581610349669974,NA,NA,NA,NA,Dollar General,0.9256645081297283
fixed,NA,(Intercept),-3.3211775205872924,2.13850747864214,-1.5530352611607874,26.995083078286182,0.13206121034619636,Dollar Tree,0.9429284641193808
fixed,NA,afam_pct,0.013869499153867372,0.0038280609750565987,3.6231134363428756,27825.029418953505,2.915961110984397e-4,Dollar Tree,0.9429284641193808
fixed,NA,hisp_pct,0.005265065062337408,0.0033279018176671465,1.5820974748672754,27825.03407625343,0.1136386856094364,Dollar Tree,0.9429284641193808
