var_label,var_gen,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017
GIS Join Match Code,GISJOIN,GISJOIN,GISJOIN,GISJOIN,GISJOIN,GISJOIN,GISJOIN,GISJOIN,GISJOIN
Hispanic or Latino,hisp,JMJE012,MN2E012,QSYE012,UEYE012,ABBAE012,ADK5E012,AF2UE012,AHZAE012
Not Hispanic or Latino: American Indian and Alaska Native alone,namind,JMJE005,MN2E005,QSYE005,UEYE005,ABBAE005,ADK5E005,AF2UE005,AHZAE005
Not Hispanic or Latino: Asian alone,asian1,JMJE006,MN2E006,QSYE006,UEYE006,ABBAE006,ADK5E006,AF2UE006,AHZAE006
Not Hispanic or Latino: Black or African American alone,afam,JMJE004,MN2E004,QSYE004,UEYE004,ABBAE004,ADK5E004,AF2UE004,AHZAE004
Not Hispanic or Latino: Native Hawaiian and Other Pacific Islander alone,asian2,JMJE007,MN2E007,QSYE007,UEYE007,ABBAE007,ADK5E007,AF2UE007,AHZAE007
Not Hispanic or Latino: Some other race alone,other1,JMJE008,MN2E008,QSYE008,UEYE008,ABBAE008,ADK5E008,AF2UE008,AHZAE008
Not Hispanic or Latino: Two or more races,other2,JMJE009,MN2E009,QSYE009,UEYE009,ABBAE009,ADK5E009,AF2UE009,AHZAE009
"Not Hispanic or Latino: Two or more races: Two races excluding Some other race, and three or more races",other3,JMJE011,MN2E011,QSYE011,UEYE011,ABBAE011,ADK5E011,AF2UE011,AHZAE011
Not Hispanic or Latino: Two or more races: Two races including Some other race,other4,JMJE010,MN2E010,QSYE010,UEYE010,ABBAE010,ADK5E010,AF2UE010,AHZAE010
Not Hispanic or Latino: White alone,white,JMJE003,MN2E003,QSYE003,UEYE003,ABBAE003,ADK5E003,AF2UE003,AHZAE003
Total,total,JMJE001,MN2E001,QSYE001,UEYE001,ABBAE001,ADK5E001,AF2UE001,AHZAE001
